company,domain,breach_date,records_affected,data_classes,industry,risk_score
DataEnrichment,,2016-12-23,8176132,"['Buying preferences', 'Charitable donations', 'Credit status information', 'Dates of birth', 'Email addresses', 'Family structure', 'Financial investments', 'Home ownership statuses', 'Income levels', 'Job titles', 'Marital statuses', 'Names', 'Net worths', 'Phone numbers', 'Physical addresses', 'Political donations']",Technology,4
DataTrollStealerLogs,,2025-06-20,109532219,"['Email addresses', 'Passwords']",Technology,5
DataCamp,datacamp.com,2017-01-30,760561,"['Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Passwords']",Technology,5
DateHotBrunettes,datehotbrunettes.com,2021-01-12,1494078,"['Bios', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
DatPiff,datpiff.com,2021-08-25,7476940,"['Email addresses', 'Passwords', 'Security questions and answers', 'Usernames']",Technology,5
Dave,dave.com,2020-06-28,2964182,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Social security numbers']",Technology,5
dBforums,dbforums.com,2016-07-04,363468,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
DCHealth,dchealthlink.com,2023-03-06,48145,"['Citizenship statuses', 'Dates of birth', 'Email addresses', 'Employers', 'Ethnicities', 'Genders', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases', 'Social security numbers']",Healthcare,4
Deezer,deezer.com,2019-04-22,229037936,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Names', 'Spoken languages', 'Usernames']",Technology,5
DemandScience,demandscience.com,2024-02-28,121796165,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses', 'Social media profiles']",Technology,5
DemonForums,demonforums.net,2019-02-20,52623,"['Email addresses', 'Passwords', 'Usernames']",Technology,4
DennisKirk,denniskirk.com,2021-09-04,1356026,"['Email addresses', 'Geographic locations', 'Names', 'Phone numbers', 'Purchases']",Technology,4
Descomplica,descomplica.com.br,2021-03-14,4845378,"['Email addresses', 'Names', 'Partial credit card data', 'Passwords', 'Purchases']",Technology,5
DevilTorrents,devil-torrents.pl,2021-01-04,63451,"['Email addresses', 'Passwords']",Technology,4
devkitPro,devkitpro.org,2019-02-03,1508,"['Email addresses', 'Passwords', 'Private messages']",Technology,4
DietCom,diet.com,2014-08-10,1383759,"['Dates of birth', 'Eating habits', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Physical attributes', 'Usernames']",Technology,5
digiDirect,digidirect.com.au,2024-09-29,304337,"['Dates of birth', 'Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,3
Digimon,digimon.co.in,2016-09-05,7687679,"['Email addresses', 'Email messages', 'IP addresses', 'Names']",Technology,4
DiskUnion,diskunion.net,2022-06-24,690667,"['Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Phone numbers', 'Usernames']",Technology,5
Disqus,disqus.com,2012-07-01,17551044,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
DivXSubTitles,divxsubtitles.net,2010-01-01,783058,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
DLH,dlh.net,2016-07-31,3264710,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']",Technology,5
Dodonew,dodonew.com,2011-12-01,8718404,"['Email addresses', 'Usernames']",Technology,4
Dominos,pizza.dominos.be,2014-06-13,648231,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
DominosIndia,dominos.co.in,2021-03-24,22527655,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,5
Doomworld,doomworld.com,2022-10-12,34478,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,4
DoorDash,doordash.com,2022-08-02,367476,"['Email addresses', 'Geographic locations', 'Names', 'Partial credit card data']",Technology,3
Dota2,dev.dota2.com,2016-07-10,1907205,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Doxbin,doxbin.com,2022-01-05,370794,"['Browser user agent details', 'Email addresses', 'Passwords', 'Usernames']",Technology,5
DoxbinTOoDA,doxbin.com,2024-02-12,136461,"['Email addresses', 'Usernames']",Technology,3
DoxbinScrape,doxbin.com,2025-01-24,435784,['Email addresses'],Technology,3
DragonNest,dragonnest.com,2013-08-23,511290,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
DriveSure,drivesure.com,2020-12-19,3675099,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Vehicle details']",Technology,5
Drizly,drizly.com,2020-07-02,2479044,"['Dates of birth', 'Device information', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
Dropbox,dropbox.com,2012-07-01,68648009,"['Email addresses', 'Passwords']",Technology,5
Dubsmash,dubsmash.com,2018-12-01,161749950,"['Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Phone numbers', 'Spoken languages', 'Usernames']",Technology,5
DucksUnlimited,ducks.org,2021-01-29,1324364,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
DuelingNetwork,duelingnetwork.com,2017-03-29,6486626,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
DDO,ddo.com,2013-04-02,1580933,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,5
Dunzo,dunzo.com,2020-06-19,3465259,"['Device information', 'Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Phone numbers']",Technology,4
Duolingo,duolingo.com,2023-01-24,2676696,"['Email addresses', 'Names', 'Spoken languages', 'Usernames']",Technology,4
Duowan,duowan.com,2011-01-01,2639894,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
DVDShopCH,dvd-shop.ch,2017-12-05,67973,"['Email addresses', 'Passwords']",Retail,4
Dymocks,dymocks.com.au,2023-06-20,836120,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Phone numbers', 'Physical addresses']",Technology,3
Earth2,earth2.io,2024-10-16,420961,"['Email addresses', 'Usernames']",Technology,3
Eatigo,eatigo.com,2018-10-16,2789609,"['Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Social media profiles']",Technology,5
EatStreet,eatstreet.com,2019-05-03,6353564,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Partial credit card data', 'Passwords', 'Phone numbers', 'Physical addresses', 'Social media profiles']",Technology,5
ECCIE,eccie.net,2021-07-01,536923,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Edmodo,edmodo.com,2017-05-11,43423561,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Elance,elance.com,2009-01-01,1291178,"['Email addresses', 'Employers', 'Geographic locations', 'Passwords', 'Phone numbers', 'Usernames']",Technology,5
Elanic,elanic.in,2018-01-01,2325283,"['Email addresses', 'Geographic locations', 'Usernames']",Technology,4
ElasticsearchSalesLeads,,2018-10-29,5788169,"['Email addresses', 'Employers', 'Names', 'Physical addresses']",Technology,4
Emotet,,2021-01-27,4324770,"['Email addresses', 'Passwords']",Technology,5
Emuparadise,emuparadise.me,2018-04-01,1131229,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
ECB,ecb.co.uk,2024-03-23,43299,"['Email addresses', 'Passwords']",Technology,4
EPal,epal.gg,2022-04-15,108887,"['Email addresses', 'Purchases', 'Usernames']",Technology,3
EpicGames,epicgames.com,2016-08-11,251661,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
EpicBot,epicbot.com,2019-09-01,816662,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
EpicNPC,epicnpc.com,2016-01-02,408795,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Epik,epik.com,2021-09-13,15003961,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,5
Eroticy,eroticy.com,2015-06-01,1370175,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Payment histories', 'Phone numbers', 'Physical addresses', 'Usernames', 'Website activity']",Technology,5
Eskimi,eskimi.com,2020-09-25,1197620,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Passwords', 'Usernames']",Technology,5
EstanteVirtual,estantevirtual.com.br,2019-02-28,5412603,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']",Technology,5
Estonia,,2018-06-07,655161,"['Email addresses', 'Passwords']",Technology,5
eThekwiniMunicipality,eservices.durban.gov.za,2016-09-07,81830,"['Dates of birth', 'Deceased date', 'Email addresses', 'Genders', 'Government issued IDs', 'Names', 'Passport numbers', 'Passwords', 'Phone numbers', 'Physical addresses', 'Utility bills']",Government,4
Ethereum,ethereum.org,2016-12-16,16431,"['Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames', 'Website activity']",Technology,4
EuropaJobs,europa.jobs,2019-08-11,226095,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Job applications', 'Names', 'Passwords', 'Phone numbers', 'Spoken languages']",Technology,5
Evermotion,evermotion.org,2015-05-07,435510,"['Dates of birth', 'Email addresses', 'Passwords', 'Usernames']",Technology,5
EverybodyEdits,everybodyedits.com,2019-03-23,871190,"['Email addresses', 'IP addresses', 'Usernames']",Technology,3
Evite,evite.com,2013-08-11,100985047,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
Evony,evony.com,2016-06-01,29396116,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Exactis,exactis.com,2018-06-01,131577763,"['Credit status information', 'Dates of birth', 'Education levels', 'Email addresses', 'Ethnicities', 'Family structure', 'Financial investments', 'Genders', 'Home ownership statuses', 'Income levels', 'IP addresses', 'Marital statuses', 'Names', 'Net worths', 'Occupations', 'Personal interests', 'Phone numbers', 'Physical addresses', 'Religions', 'Spoken languages']",Technology,5
Experian,experian.com,2015-09-16,7196890,"['Credit status information', 'Dates of birth', 'Email addresses', 'Ethnicities', 'Family structure', 'Genders', 'Home ownership statuses', 'Income levels', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchasing habits']",Technology,4
Experian2020,,2020-08-19,1284637,"['Email addresses', 'Employers', 'Government issued IDs', 'Names', 'Occupations', 'Phone numbers']",Technology,4
ExploitIn,,2016-10-13,593427119,"['Email addresses', 'Passwords']",Technology,5
ExploreTalentAug2024,exploretalent.com,2024-08-15,8929384,['Email addresses'],Technology,4
ExploreTalent,exploretalent.com,2022-02-28,5371574,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
VINs,,2017-06-05,396650,"['Dates of birth', 'Email addresses', 'Family structure', 'Genders', 'Names', 'Phone numbers', 'Physical addresses', 'Vehicle details']",Technology,3
Exvagos,exvagos.org,2022-07-21,2121789,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Eye4Fraud,eye4fraud.com,2023-01-25,16000591,"['Email addresses', 'IP addresses', 'Names', 'Partial credit card data', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
EyeEm,eyeem.com,2018-02-28,19611022,"['Bios', 'Email addresses', 'Names', 'Passwords', 'Usernames']",Technology,5
Facebook,facebook.com,2019-08-01,509458528,"['Dates of birth', 'Email addresses', 'Employers', 'Genders', 'Geographic locations', 'Names', 'Phone numbers', 'Relationship statuses']",Technology,5
FacebookMarketplace,facebook.com,2023-10-01,77267,"['Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Phone numbers', 'Social media profiles']",Technology,4
Facepunch,facepunch.com,2016-06-03,342913,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
FaceUP,faceup.dk,2013-01-01,87633,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Usernames']",Technology,4
Factual,factual.com,2017-03-22,2461696,"['Email addresses', 'Employers', 'Phone numbers', 'Physical addresses']",Technology,4
FairVoteCanada,fairvote.ca,2024-03-02,134336,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Political donations']",Technology,3
Famm,famm.us,2020-10-08,535240,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords']",Technology,5
Fanpass,fanpass.co.uk,2022-04-30,112251,"['Email addresses', 'Genders', 'Names', 'Partial dates of birth', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases', 'Social media profiles']",Technology,5
FantasyFootballHub,fantasyfootballhub.co.uk,2021-10-02,66479,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Purchases', 'Usernames']",Technology,4
WhiteRoom,fashionnexus.co.uk,2018-07-09,1279263,"['Browser user agent details', 'Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,5
FashionFantasyGame,fashionfantasygame.com,2016-12-01,2357872,"['Email addresses', 'Passwords']",Technology,5
FFR,ffr.fr,2023-07-06,281977,"['Dates of birth', 'Email addresses', 'Names', 'Phone numbers']",Technology,3
FilmaiIn,filmai.in,2020-01-01,645786,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
FFShrine,ffshrine.org,2015-09-18,620677,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,5
Finsure,finsure.com.au,2024-10-15,296124,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,3
Fitmart,fitmart.de,2021-10-01,214492,"['Email addresses', 'Passwords']",Technology,5
FlashFlashRevolution,flashflashrevolution.com,2016-02-01,1771845,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
FlashFlashRevolution2019,flashflashrevolution.com,2019-07-16,1858124,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Flashback,flashback.se,2015-02-11,40256,"['Email addresses', 'Government issued IDs', 'Physical addresses']",Technology,2
FlatEarthDave,flatearthdave.com,2024-10-15,33294,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Names', 'Passwords', 'Usernames']",Technology,4
FlexBooker,flexbooker.com,2021-12-23,3756794,"['Email addresses', 'Names', 'Partial credit card data', 'Passwords', 'Phone numbers']",Technology,5
Fling,fling.com,2011-03-10,40767652,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Phone numbers', 'Sexual fetishes', 'Sexual orientations', 'Usernames', 'Website activity']",Technology,5
FlipaClip,flipaclip.com,2024-11-18,892854,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Names']",Technology,3
FLVS,flvs.net,2018-02-12,542902,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'School grades (class levels)', 'Usernames']",Technology,5
RobloxDeveloperConference2024,fntech.com,2024-07-04,10386,"['Email addresses', 'IP addresses', 'Names']",Technology,2
Foodora,foodora.com,2016-04-22,582578,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
Forbes,forbes.com,2014-02-15,1057819,"['Email addresses', 'Passwords', 'User website URLs', 'Usernames']",Technology,5
ForumCommunity,forumcommunity.net,2016-06-01,776648,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Fotolog,fotolog.com,2018-12-01,16717854,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
FoxyBingo,foxybingo.com,2008-04-04,252216,"['Account balances', 'Browser user agent details', 'Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames', 'Website activity']",Technology,5
FrameAndOptic,frameandoptic.com,2025-01-16,15678,"['Email addresses', 'Geographic locations', 'Names', 'Phone numbers']",Technology,2
FreeMobile,free.fr,2024-10-17,13926173,"['Bank account numbers', 'Dates of birth', 'Genders', 'Names', 'Phone numbers', 'Physical addresses']",Technology,3
FreedomHostingII,fhostingesps6bly.onion,2017-01-31,380830,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
FreeOnes,freeones.com,2017-02-16,960213,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
FrenchCitizens,,2024-09-25,28445106,"['Device information', 'Email addresses', 'IP addresses', 'Names', 'Partial credit card data', 'Phone numbers', 'Physical addresses']",Technology,5
FreshMenu,freshmenu.com,2016-07-01,110355,"['Device information', 'Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,3
Fridae,fridae.asia,2014-05-02,35368,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,4
Funimation,funimation.com,2016-07-01,2491103,"['Dates of birth', 'Email addresses', 'Passwords', 'Usernames']",Technology,5
FunnyGames,funny-games.biz,2018-04-28,764357,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
FurAffinity,furaffinity.net,2016-05-17,1270564,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Gaadi,gaadi.com,2015-05-14,4261179,"['Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Usernames']",Technology,5
Gab,gab.com,2021-02-26,66521,"['Avatars', 'Email addresses', 'Names', 'Passwords', 'Private messages', 'Usernames']",Technology,4
GamerzPlanet,gamerzplanet.net,2015-10-23,1217166,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GamesBox,gamesbox.com,2020-09-21,1439354,"['Ages', 'Email addresses', 'Genders', 'Passwords', 'Usernames']",Technology,5
GameSalad,gamesalad.com,2019-02-24,1506242,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GameSprite,gamesprite.me,2019-12-17,6164643,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GameTuts,game-tuts.com,2015-03-01,2064274,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GameVN,gamevn.com,2016-05-01,1369485,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Gamigo,gamigo.com,2012-03-01,8243604,"['Email addresses', 'Passwords']",Technology,5
GamingMonk,gamingmonk.com,2020-12-02,654510,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Usernames']",Technology,5
GateHub,gatehub.net,2019-06-04,1408078,"['Email addresses', 'Encrypted keys', 'Mnemonic phrases', 'Passwords']",Technology,5
Gawker,gawker.com,2010-12-11,1247574,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Gett,ge.tt,2017-05-04,2481121,"['Email addresses', 'Names', 'Passwords', 'Social media profiles']",Technology,5
GeekedIn,geekedin.net,2016-08-15,1073164,"['Email addresses', 'Geographic locations', 'Names', 'Professional skills', 'Usernames', 'Years of professional experience']",Technology,4
Gemini,gemini.com,2022-12-13,5274214,"['Email addresses', 'Partial phone numbers']",Technology,4
Gemplex,gemplex.tv,2021-02-18,4563166,"['Device information', 'Email addresses', 'Names', 'Passwords', 'Phone numbers']",Technology,5
GenesisMarket,genesis.market,2023-04-05,8000000,"['Browser user agent details', 'Credit card CVV', 'Credit cards', 'Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']",Retail,5
GeniusU,geniusu.com,2020-10-02,1301460,"['Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Social media profiles']",Technology,5
GermanDonerKebab,germandonerkebab.com,2025-03-27,162373,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,3
GetRevengeOnYourEx,getrevengeonyourex.com,2022-09-09,79195,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,4
GFAN,gfan.com,2016-10-10,22526334,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GGCorp,ggcorp.me,2022-08-11,2376330,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GiantTiger,gianttiger.com,2024-03-04,2842669,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
Giglio,giglio.com,2025-08-09,1026468,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
GiveSendGo,givesendgo.com,2022-02-07,89966,"['Email addresses', 'Geographic locations', 'Names', 'Purchases']",Technology,2
GLAMIRA,glamira.com,2023-12-16,874594,"['Email addresses', 'Names', 'Phone numbers', 'Purchases']",Technology,3
Glofox,glofox.com,2020-03-27,2330735,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers']",Technology,5
GoGames,gogames.me,2015-10-24,3430083,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GoNinja,goninja.de,2019-12-17,4999001,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GoldSilver,goldsilver.com,2018-10-21,242715,"['Bank account numbers', 'Email addresses', 'IP addresses', 'Names', 'Partial credit card data', 'Passport numbers', 'Phone numbers', 'Physical addresses', 'Purchases', 'Security questions and answers', 'Social security numbers']",Technology,5
gPotato,gpotato.com,2007-07-12,2136520,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Physical addresses', 'Security questions and answers', 'Usernames', 'Website activity']",Technology,5
GPSUnderground,gpsunderground.com,2016-07-01,669584,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Gravatar,gravatar.com,2020-10-03,113990759,"['Email addresses', 'Names', 'Usernames']",Technology,5
GSMHosting,gsmhosting.com,2016-08-01,2607440,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GTAGaming,gtagaming.com,2016-08-01,197184,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,5
GunAuction,gunauction.com,2022-12-03,565470,"['Browser user agent details', 'Email addresses', 'Genders', 'IP addresses', 'Partial credit card data', 'Partial dates of birth', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']",Technology,5
Playgar,play-gar.com,2016-04-01,143569,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
GunsDotCom,guns.com,2021-01-12,375928,"['Dates of birth', 'Email addresses', 'Names', 'Partial credit card data', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,5
Guntrader,guntrader.uk,2021-07-17,112031,"['Browser user agent details', 'Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Salutations']",Technology,5
HackForums,hackforums.net,2011-06-25,191540,"['Dates of birth', 'Email addresses', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Social connections', 'Spoken languages', 'Time zones', 'User website URLs', 'Usernames', 'Website activity']",Technology,5
HackingTeam,hackingteam.com,2015-07-06,32310,"['Email addresses', 'Email messages']",Technology,2
Hakko,hakko.com,2019-03-28,9665,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']",Technology,4
Hathway,hathway.com,2023-12-17,4670080,"['Device information', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Salutations', 'Support tickets']",Technology,5
HauteLook,hautelook.com,2018-08-07,28510459,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Names', 'Passwords']",Technology,5
HaveFunTeaching,havefunteaching.com,2021-08-15,27126,"['Browser user agent details', 'Email addresses', 'IP addresses', 'Names', 'Payment methods', 'Physical addresses', 'Purchases']",Technology,2
Havenly,havenly.com,2020-06-25,1369180,"['Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Phone numbers']",Technology,5
HDBFinancialServices,hdbfs.com,2023-02-22,1658750,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Loan information', 'Names', 'Phone numbers']",Technology,4
HealthNowNetworks,healthnow.co,2017-03-25,321920,"['Dates of birth', 'Email addresses', 'Genders', 'Health insurance information', 'IP addresses', 'Names', 'Personal health data', 'Phone numbers', 'Physical addresses', 'Security questions and answers', 'Social connections']",Healthcare,3
HeatGames,heatgames.me,2021-06-12,647896,"['Email addresses', 'Geographic locations', 'IP addresses', 'Passwords']",Technology,5
HelloCake,hellocake.com,2025-07-25,22907,"['Dates of birth', 'Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,2
Hemmakvall,hemmakvall.se,2015-07-08,47297,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,4
Hemmelig,hemmelig.com,2011-12-21,28641,"['Email addresses', 'Genders', 'Nicknames', 'Partial dates of birth', 'Passwords', 'Usernames']",Technology,4
HeroesOfGaia,heroesofgaia.com,2013-01-04,179967,"['Browser user agent details', 'Email addresses', 'IP addresses', 'Usernames', 'Website activity']",Technology,3
HeroesOfNewerth,heroesofnewerth.com,2012-12-17,8089103,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
HIAPK,hiapk.com,2014-01-01,13873674,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Hjedd,hjedd.com,2022-07-18,13204029,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
HLTV,hltv.org,2016-06-19,611070,"['Email addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']",Technology,5
HomeChef,homechef.com,2020-02-10,8815692,"['Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Partial credit card data', 'Passwords', 'Phone numbers']",Technology,5
HomeRefill,homerefill.com.br,2020-04-02,187457,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Phone numbers']",Technology,5
HongFire,hongfire.com,2015-03-01,999991,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
HookersNL,hookers.nl,2019-10-10,290955,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Hopamedia,,2020-08-30,23835870,"['Email addresses', 'Geographic locations', 'Names', 'Phone numbers', 'Telecommunications carrier']",Technology,5
HorseIsle,horseisle.com,2020-09-19,27786,"['Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Purchases', 'Usernames']",Technology,4
HotTopic,hottopic.com,2024-10-19,56904909,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Partial credit card data', 'Phone numbers', 'Physical addresses', 'Purchases', 'Salutations']",Technology,5
HoundDawgs,hounddawgs.org,2017-12-30,45701,"['Email addresses', 'IP addresses', 'Passwords', 'Website activity']",Technology,4
Houzz,houzz.com,2018-05-23,48881308,"['Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Social media profiles', 'Usernames']",Technology,5
HTCMania,htcmania.com,2020-01-04,1488089,"['Dates of birth', 'Email addresses', 'Historical passwords', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
HTHStudios,hthstudios.com,2018-08-24,411755,"['Browser user agent details', 'Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases', 'Usernames']",Technology,3
Hub4Tech,hub4tech.com,2017-01-01,36916,"['Email addresses', 'Passwords']",Technology,4
HuntStand,huntstand.com,2024-03-08,2795947,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Names']",Technology,4
Hurb,hurb.com,2019-03-14,20727771,"['Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Social media profiles']",Technology,5
HuskyOwners,husky-owners.com,2024-07-04,16502,"['Dates of birth', 'Email addresses', 'Time zones', 'Usernames']",Technology,2
iDTech,idtech.com,2023-01-03,415121,"['Dates of birth', 'Email addresses', 'Names', 'Passwords']",Technology,5
